name,address,city,type,full_address,latitude,longitude,coordinates,website_url,phone,County,Zip,postal_code,State
5150 Brewing at The Brass Tap Rocklin,5150 Commons Dr. #101,Rocklin,Taproom,"5150 Commons Dr. #101, Rocklin",38.801112,-121.208714,"38.801112, -121.208714",brasstaprocklin.com,916-246-2729,Placer County,95677,95677-3925,California
Alaro Craft Brewery,2004 Capitol Ave.,Sacramento,Beer brewery,"2004 Capitol Ave., Sacramento",38.572963,-121.481232,"38.572963, -121.481232",alarobrewing.com,916-436-7711,Sacramento County,95811,95811,California
At Ease Brewing,1825 I St.,Sacramento,Beer brewery,"1825 I St., Sacramento",38.578543,-121.480969,"38.578543, -121.480969",ateasebrewing.com,916-431-7940,Sacramento County,95814,95811-3003,California
Auburn Alehouse,289 Washington St.,Auburn,Beer brewery,"289 Washington St., Auburn",38.895386,-121.078473,"38.895386, -121.078473",auburnalehouse.com,530-885-2537,Placer County,95603,95603-5036,California
BarmHaus Brewing Co.,3782 Winding Creek Lane,Garden Valley,Beer brewery,"3782 Winding Creek Lane, Garden Valley",38.840232,-120.877908,"38.840232, -120.877908",barmhausco.com,530-444-0478,El Dorado County,95633,95633-9773,California
Berryessa Brewing Co.,27260 State Highway 128,Winters,Beer brewery,"27260 State Highway 128, Winters",38.513828,-122.002904,"38.513828, -122.002904",berryessabrewingco.com,530-304-2202,Yolo County,95694,95694-9066,California
Bike Dog Brewing Co. - West Sacramento Brewery,2534 Industrial Blvd. #110,West Sacramento,Beer brewery,"2534 Industrial Blvd. #110, West Sacramento",38.566,-121.54354,"38.566, -121.54354",bikedogbrewing.com/west-sacramento-brewery,916-572-0788,Yolo County,95691,95691-3471,California
Bike Dog Brewing Co. - East Sac Taproom,1210 66th St.,Sacramento,Taproom,"1210 66th St., Sacramento",38.555084,-121.426515,"38.555084, -121.426515",bikedogbrewing.com/east-sac-taproom,916-254-0888,,,,California
Bike Dog Brewing Co. - Broadway Taproom,915 Broadway #200,Sacramento,Taproom,"915 Broadway #200, Sacramento",38.564522,-121.500955,"38.564522, -121.500955",bikedogbrewing.com/broadway-taproom,916-475-1808,,,,California
Blue Note Brewing Co.,750 Dead Cat Alley,Woodland,Beer brewery,"750 Dead Cat Alley, Woodland",38.677908,-121.771124,"38.677908, -121.771124",bluenotebrewing.com,530-358-4677,Yolo County,95695,95695-3435,California
Burning Barrel Brewing Co.,11210 Sun Center Dr. #B,Rancho Cordova,Beer brewery,"11210 Sun Center Dr. #B, Rancho Cordova",38.597355,-121.266143,"38.597355, -121.266143",burningbarrelbrewco.com,916-382-4846,Sacramento County,,95670,California
Claimstake Brewing Co.,11366 Monier Park Pl.,Rancho Cordova,Beer brewery,"11366 Monier Park Pl., Rancho Cordova",38.581893,-121.261009,"38.581893, -121.261009",claimstakebrewing.com,916-661-5249,Sacramento County,95742,95742-6856,California
Cold Water Brewery and Grill,2544 Lake Tahoe Blvd.,South Lake Tahoe,Beer brewery,"2544 Lake Tahoe Blvd., South Lake Tahoe",38.925373,-119.986158,"38.925373, -119.986158",tahoecoldwaterbrewery.com,530-544-4677,El Dorado County,96150,96150-7707,California
Cool Beerwerks,5020 Ellinghouse Dr.,Cool,Beer brewery,"5020 Ellinghouse Dr., Cool",38.88645,-121.014062,"38.88645, -121.014062",cbwbeer.com,530-885-5866,El Dorado County,95614,95614-9569,California
Crooked Lane Brewing Co.,536 Grass Valley Hwy.,Auburn,Beer brewery,"536 Grass Valley Hwy., Auburn",38.909657,-121.076796,"38.909657, -121.076796",crookedlanebrewing.com,530-613-7434,Placer County,95603,95603-3807,California
Device Brewing Co.,8166 14th Ave.,Sacramento,Beer brewery,"8166 14th Ave., Sacramento",38.53908,-121.406462,"38.53908, -121.406462",devicebrewing.com,916-737-2739,Sacramento County,95826,95826-4722,California
Bradley Ranch Winery and Brewery,11070 Bradley Ranch Rd.,Elk Grove,Beer brewery,"11070 Bradley Ranch Rd., Elk Grove",38.43411,-121.266898,"38.43411, -121.266898",bradleyranch.com,916-479-4088,Sacramento County,,95624,California
Coatza Brewing Co.,9251 Elk Grove Blvd.,Elk Grove,Beer brewery,"9251 Elk Grove Blvd., Elk Grove",38.40924,-121.355822,"38.40924, -121.355822",coatzabrewingco.com,916-268-1258,Sacramento County,,,California
Dueling Dogs Brewing Co.,3030 Barrett Park Lane,Lincoln,Beer brewery,"3030 Barrett Park Lane, Lincoln",38.929934,-121.239834,"38.929934, -121.239834",duelingdogsbrewing.com,916-434-8141,Placer County,95648,95648-8503,California
Dunloe Brewing LLC,1606 Olive Dr.,Davis,Beer brewery,"1606 Olive Dr., Davis",38.544759,-121.73117,"38.544759, -121.73117",dunloebrewing.com,530-231-3502,Yolo County,95616,95616-4741,California
El Dorado Brewing Co.,6051 Enterprise Dr.,Diamond Springs,Beer brewery,"6051 Enterprise Dr., Diamond Springs",38.694522,-120.834232,"38.694522, -120.834232",eldobrewing.com,530-558-4188,El Dorado County,95619,95619-9447,California
Fair Oaks Brew Pub,7988 California Ave.,Fair Oaks,Beer brewery,"7988 California Ave., Fair Oaks",38.642179,-121.269488,"38.642179, -121.269488",fairoaksbrewpub.com,916-241-3108,Sacramento County,95628,95628-7140,California
